Date_Epoch_Week,Num_Helpful,Num_Funny,Hours_Played,Recommend
2729,8.114285714285714,2.4,0.027433223943837497,0.5428571428571428
2730,7.405063291139241,0.569620253164557,0.022379187355759146,0.6455696202531646
2731,1.9142857142857144,0.34285714285714286,0.05171769202010552,0.6857142857142857
2732,0.46153846153846156,0.0,0.033462321336703425,0.7692307692307693
2733,1.0,0.26666666666666666,0.039972860327614615,0.8
2734,1.7,0.2,0.027595231171852287,0.4
2735,3.9,0.4,0.03259668508287293,0.7
2736,0.2,0.2,0.011456818842686827,0.2
2737,2.3333333333333335,0.6666666666666666,0.012503634777551615,0.6666666666666666
2738,0.6,0.0,0.02529805175923234,1.0
2739,1.3333333333333333,0.16666666666666666,0.0191431617718329,0.3333333333333333
2740,0.75,0.0,0.04129107298633324,0.5
2741,0.3333333333333333,0.0,0.03048366773286808,0.5
2742,2.0,0.6666666666666666,0.031113695841814486,0.3333333333333333
2743,1.5,0.0,0.005452166327420762,0.25
2744,1.2,0.2,0.06577493457400407,0.4
2745,0.0,0.0,0.3636716099641369,0.3333333333333333
2746,3.0,0.5,0.01584763012503635,0.25
2747,1.75,0.0,0.030532131433556268,0.5
2748,2.0,0.0,0.032567606862460026,0.0
2749,1.25,0.25,0.05052340796743239,1.0
2750,0.0,0.0,0.019191625472521085,1.0
2751,0.6666666666666666,0.0,0.05301928855287389,0.3333333333333333
2752,0.0,0.0,0.012503634777551615,0.5
2753,0.0,0.0,0.026606571677813322,0.5
2754,1.25,0.25,0.02224483861587671,0.5
2755,0.8333333333333334,0.8333333333333334,0.013763690995444411,0.3333333333333333
2757,0.0,0.0,0.041436464088397795,0.5
