92800,0,0,RightFlow,203,4,1,21.8,"December 29, 2016",I like this game so much that I ended up buying the mobile version for ♥♥♥♥♥ sake.
92800,0,0,76561197982049492,46,1,1,14.9,"December 29, 2016","After the first few levels the difficulty curve becomes more like a cliff. The puzzles get hard as balls and frustrating, but if that's your cup of tea then you might like this. If not, don't bother."
92800,0,0,rodrigosetti,84,1,1,10.5,"December 27, 2016","great puzzle. 6 hours in and still having lots of fun. It is extremelly challenging, but very satisfying when a solution is found... it feel like programming."
92800,0,0,zarankiewicz,131,1,1,16.6,"December 27, 2016","Interesting puzzles in rapidly increasing difficulty. As we are given the statistics of other players, you can try to find solutions with several goals in mind:- minimize the length of the simulation- minimize the number of instructions- minimize the number of reactorsThe only puzzles which I personally don't enjoy as much are the ones requiring user interaction during the simulation."
92800,0,0,InfiniteAces777,228,3,1,7.6,"December 25, 2016",Fun
92800,0,0,stealthcow,216,1,1,8.9,"December 22, 2016",lots of fun but gets difficult pretty quickly.
92800,0,0,VVinceVV,163,42,1,76.6,"December 13, 2016",Y|E-SG| OF-O|R I-T
92800,0,0,DrShimapan,389,19,1,9.8,"December 9, 2016",Think you are smart? do you like logical puzzles? have too much hair?SpaceChem will make you or break you
92800,2,1,76561198022277055,238,3,-1,4.3,"December 8, 2016","I love cerbral games like this. If you find certain puzzle games to be too easy or tedious, I'm betting you'll enjoy this fresh breath of air.However, I cannot currently recommend as the windowed mode is broken with a two-monitor setup. If the dev is able to reach out, I'd be happy to help them fix this bug, which currently makes it impossible for me to play the game."
92800,1,0,3417gekko,159,6,1,3.8,"December 8, 2016",The tags list this game as casual.Those tags are wrong.
92800,0,0,jruff,245,1,1,25.9,"November 29, 2016","This simple little puzzle game really taxes you to think of creative solutions.  When you do, the sense of accomplishment is phenomenal."
92800,0,0,76561198051092319,4,2,1,1.3,"November 29, 2016",Fun little game!
92800,0,0,76561198027099274,129,4,1,48.1,"November 28, 2016",This is a very clever and challenging game.  The Lovecraftian plot line is a gratuitous addition of fun to an already amazing game.
